species_id	count_reads	coverage	relative_abundance	XCA_036
Helicobacter_pylori_44545	0	0.0	0.0	XCA_036
Leucobacter_sp_59979	0	0.0	0.0	XCA_036
Helicobacter_pylori_62683	0	0.0	0.0	XCA_036
Helicobacter_pylori_62682	0	0.0	0.0	XCA_036
Helicobacter_pylori_62681	0	0.0	0.0	XCA_036
Helicobacter_pylori_62680	0	0.0	0.0	XCA_036
Mycobacterium_tuberculosis_57439	0	0.0	0.0	XCA_036
Helicobacter_pylori_62684	0	0.0	0.0	XCA_036
Bacillus_akibai_59729	0	0.0	0.0	XCA_036
Acinetobacter_ursingii_57496	0	0.0	0.0	XCA_036
Arthrobacter_sp_58574	0	0.0	0.0	XCA_036
Marine_actinobacterium_61178	0	0.0	0.0	XCA_036
Roseivivax_sp_60090	0	0.0	0.0	XCA_036
Psychrobacter_lutiphocae_59016	0	0.0	0.0	XCA_036
Bibersteinia_trehalosi_57640	0	0.0	0.0	XCA_036
Carnobacterium_funditum_60575	0	0.0	0.0	XCA_036
Pseudomonas_sp_59942	0	0.0	0.0	XCA_036
Proteocatella_sphenisci_59007	0	0.0	0.0	XCA_036
Kyrpidia_tusciae_61815	0	0.0	0.0	XCA_036
Porphyrobacter_cryptus_58998	0	0.0	0.0	XCA_036
Citrobacter_amalonaticus_54491	0	0.0	0.0	XCA_036
Chlamydia_psittaci_52935	0	0.0	0.0	XCA_036
Paenibacillus_mucilaginosus_55060	0	0.0	0.0	XCA_036
Borrelia_spielmanii_61649	0	0.0	0.0	XCA_036
Streptococcus_pyogenes_56747	0	0.0	0.0	XCA_036
Pseudonocardia_dioxanivorans_62092	0	0.0	0.0	XCA_036
Nocardiopsis_lucentensis_59771	0	0.0	0.0	XCA_036
Gillisia_sp_62652	0	0.0	0.0	XCA_036
Dehalococcoides_mccartyi_57615	0	0.0	0.0	XCA_036
Salimicrobium_sp_59639	0	0.0	0.0	XCA_036
Bacteroides_sp_38040	0	0.0	0.0	XCA_036
Pseudomonas_mendocina_57420	0	0.0	0.0	XCA_036
Oribacterium_sp_60403	0	0.0	0.0	XCA_036
Thermodesulfobacterium_thermophilum_59109	0	0.0	0.0	XCA_036
Mesotoga_prima_62054	0	0.0	0.0	XCA_036
Enterococcus_faecalis_55915	0	0.0	0.0	XCA_036
Leisingera_sp_60898	0	0.0	0.0	XCA_036
Leisingera_sp_60899	0	0.0	0.0	XCA_036
Leisingera_sp_60897	0	0.0	0.0	XCA_036
Agrobacterium_tumefaciens_61326	0	0.0	0.0	XCA_036
Emticicia_oligotrophica_62538	0	0.0	0.0	XCA_036
Pelagibacter_sp_58309	0	0.0	0.0	XCA_036
Tropheryma_whipplei_53771	0	0.0	0.0	XCA_036
Streptomyces_galbus_61284	0	0.0	0.0	XCA_036
Starkeya_novella_61986	0	0.0	0.0	XCA_036
Thioalkalivibrio_sp_60672	0	0.0	0.0	XCA_036
Chlorobaculum_parvum_61681	0	0.0	0.0	XCA_036
Clostridiales_bacterium_58600	0	0.0	0.0	XCA_036
Gracilibacillus_halophilus_60066	0	0.0	0.0	XCA_036
Streptacidiphilus_anmyonensis_61466	0	0.0	0.0	XCA_036
Lactococcus_garvieae_59650	0	0.0	0.0	XCA_036
Buttiauxella_agrestis_58324	0	0.0	0.0	XCA_036
Deinococcus_peraridilitoris_62590	0	0.0	0.0	XCA_036
Acinetobacter_sp_43453	0	0.0	0.0	XCA_036
Nonlabens_ulvanivorans_56594	0	0.0	0.0	XCA_036
Chromohalobacter_japonicus_61028	0	0.0	0.0	XCA_036
Acetivibrio_cellulolyticus_61669	0	0.0	0.0	XCA_036
