Family subject avg_mix_log10_ratio recipient_fam_relAbundance_day_029 recipient_fam_relAbundance_day_036 recipient_ratio recipient_log10_ratio
Tannerellaceae XLA 2.504549338358976 0.0291996816308105 1e-4 291.996816308105 2.4653781162862276
Tannerellaceae XSA 2.4850707992612895 1e-4 1e-4 1e-4 1e-4
Veillonellaceae XCA 3.1472506075810793 1e-4 1e-4 1e-4 1e-4
Veillonellaceae XDA 3.109448161073775 1e-4 1e-4 1e-4 1e-4
Veillonellaceae XEA 2.550550917283248 1e-4 1e-4 1e-4 1e-4
Veillonellaceae XFA 2.4862497574490856 1e-4 1e-4 1e-4 1e-4
Veillonellaceae XGA 2.772714427812764 0.0278398926654741 1e-4 278.398926654741 2.444667556553389
Veillonellaceae XJA 2.859442392225479 0.1708364296920152 1e-4 1708.364296920152 3.232580486535757
Veillonellaceae XLA 3.0362504789945013 1e-4 1e-4 1e-4 1e-4
Veillonellaceae XSA 2.2068369204165093 1e-4 1e-4 1e-4 1e-4
[Clostridium]_methylpentosum_group XGA 1.1164530366259275 1e-4 1e-4 1e-4 1e-4
[Clostridium]_methylpentosum_group XJA 1.3077099564939116 1e-4 1e-4 1e-4 1e-4
NA XDA 0.17516053575238283 1e-4 0.00133874351330463 0.07469690721649463 -1.1266973795315423
