filename,sample,group,round2plate,round1index,metadata
16S-A-F3-L3,AME0061-F03,eACE010-eAME121,A,3,XDB-029+XJA-029
16S-A-G3-L3,AME0061-G03,eACE010-eAME122,A,3,XDB-029+XGA-029
16S-A-H3-L3,AME0061-H03,eACE010-eAME123,A,3,XDB-029+XLA-029
16S-A-A4-L3,AME0061-A04,eACE010-eAME124,A,3,XEB-029+XDA-029
16S-A-B4-L3,AME0061-B04,eACE010-eAME125,A,3,XEB-029+XEA-029
16S-A-C4-L3,AME0061-C04,eACE010-eAME126,A,3,XEB-029+XFA-029
16S-A-D4-L3,AME0061-D04,eACE010-eAME127,A,3,XEB-029+XCA-029
16S-A-E4-L3,AME0061-E04,eACE010-eAME128,A,3,XEB-029+XSA-029
16S-A-F4-L3,AME0061-F04,eACE010-eAME129,A,3,XEB-029+XJA-029
16S-A-G4-L3,AME0061-G04,eACE010-eAME130,A,3,XEB-029+XGA-029
16S-A-H4-L3,AME0061-H04,eACE010-eAME131,A,3,XEB-029+XLA-029
16S-A-A5-L3,AME0061-A05,eACE010-eAME132,A,3,XFB-029+XDA-029
16S-A-B5-L3,AME0061-B05,eACE010-eAME133,A,3,XFB-029+XEA-029
16S-A-C5-L3,AME0061-C05,eACE010-eAME134,A,3,XFB-029+XFA-029
16S-A-D5-L3,AME0061-D05,eACE010-eAME135,A,3,XFB-029+XCA-029
16S-A-E5-L3,AME0061-E05,eACE010-eAME136,A,3,XFB-029+XSA-029
16S-A-F5-L3,AME0061-F05,eACE010-eAME137,A,3,XFB-029+XJA-029
16S-A-G5-L3,AME0061-G05,eACE010-eAME138,A,3,XFB-029+XGA-029
16S-A-H5-L3,AME0061-H05,eACE010-eAME139,A,3,XFB-029+XLA-029
16S-A-A6-L3,AME0061-A06,eACE010-eAME140,A,3,XGB-029+XDA-029
16S-A-B6-L3,AME0061-B06,eACE010-eAME141,A,3,XGB-029+XEA-029
16S-A-C6-L3,AME0061-C06,eACE010-eAME142,A,3,XGB-029+XFA-029
16S-A-D6-L3,AME0061-D06,eACE010-eAME143,A,3,XGB-029+XCA-029
16S-A-E6-L3,AME0061-E06,eACE010-eAME144,A,3,XGB-029+XSA-029
16S-A-F6-L3,AME0061-F06,eACE010-eAME145,A,3,XGB-029+XJA-029
16S-A-G6-L3,AME0061-G06,eACE010-eAME146,A,3,XGB-029+XGA-029
16S-A-H6-L3,AME0061-H06,eACE010-eAME147,A,3,XGB-029+XLA-029
16S-A-A7-L3,AME0061-A07,eACE010-eAME148,A,3,XHB-029+XDA-029
16S-A-B7-L3,AME0061-B07,eACE010-eAME149,A,3,XHB-029+XEA-029
16S-A-C7-L3,AME0061-C07,eACE010-eAME150,A,3,XHB-029+XFA-029
16S-A-D7-L3,AME0061-D07,eACE010-eAME151,A,3,XHB-029+XCA-029
16S-A-E7-L3,AME0061-E07,eACE010-eAME152,A,3,XHB-029+XSA-029
16S-A-F7-L3,AME0061-F07,eACE010-eAME153,A,3,XHB-029+XJA-029
16S-A-G7-L3,AME0061-G07,eACE010-eAME154,A,3,XHB-029+XGA-029
16S-A-H7-L3,AME0061-H07,eACE010-eAME155,A,3,XHB-029+XLA-029
16S-A-A8-L3,AME0061-A08,eACE010-eAME156,A,3,XIB-029+XDA-029
16S-A-B8-L3,AME0061-B08,eACE010-eAME157,A,3,XIB-029+XEA-029
16S-A-C8-L3,AME0061-C08,eACE010-eAME158,A,3,XIB-029+XFA-029
16S-A-D8-L3,AME0061-D08,eACE010-eAME159,A,3,XIB-029+XCA-029
16S-A-E8-L3,AME0061-E08,eACE010-eAME160,A,3,XIB-029+XSA-029
16S-A-F8-L3,AME0061-F08,eACE010-eAME161,A,3,XIB-029+XJA-029
16S-A-G8-L3,AME0061-G08,eACE010-eAME162,A,3,XIB-029+XGA-029
16S-A-H8-L3,AME0061-H08,eACE010-eAME163,A,3,XIB-029+XLA-029
16S-A-A9-L3,AME0061-A09,eACE010-eAME164,A,3,XJB-029+XDA-029
16S-A-B9-L3,AME0061-B09,eACE010-eAME165,A,3,XJB-029+XEA-029
16S-A-C9-L3,AME0061-C09,eACE010-eAME166,A,3,XJB-029+XFA-029
16S-A-D9-L3,AME0061-D09,eACE010-eAME167,A,3,XJB-029+XCA-029
16S-A-E9-L3,AME0061-E09,eACE010-eAME168,A,3,XJB-029+XSA-029
16S-A-F9-L3,AME0061-F09,eACE010-eAME169,A,3,XJB-029+XJA-029
16S-A-G9-L3,AME0061-G09,eACE010-eAME170,A,3,XJB-029+XGA-029
16S-A-H9-L3,AME0061-H09,eACE010-eAME171,A,3,XJB-029+XLA-029
16S-A-A10-L3,AME0061-A10,eACE010-eAME172,A,3,XKB-029+XDA-029
16S-A-B10-L3,AME0061-B10,eACE010-eAME173,A,3,XKB-029+XEA-029
16S-A-C10-L3,AME0061-C10,eACE010-eAME174,A,3,XKB-029+XFA-029
16S-A-D10-L3,AME0061-D10,eACE010-eAME175,A,3,XKB-029+XCA-029
16S-A-E10-L3,AME0061-E10,eACE010-eAME176,A,3,XKB-029+XSA-029
16S-A-F10-L3,AME0061-F10,eACE010-eAME177,A,3,XKB-029+XJA-029
16S-A-G10-L3,AME0061-G10,eACE010-eAME178,A,3,XKB-029+XGA-029
16S-A-H10-L3,AME0061-H10,eACE010-eAME179,A,3,XKB-029+XLA-029
16S-A-A11-L3,AME0061-A11,eACE010-eAME180,A,3,blank+XDA-029
16S-A-B11-L3,AME0061-B11,eACE010-eAME181,A,3,blank+XEA-029
16S-A-C11-L3,AME0061-C11,eACE010-eAME182,A,3,blank+XFA-029
16S-A-D11-L3,AME0061-D11,eACE010-eAME183,A,3,blank+XCA-029
16S-A-E11-L3,AME0061-E11,eACE010-eAME184,A,3,blank+XSA-029
16S-A-F11-L3,AME0061-F11,eACE010-eAME185,A,3,blank+XJA-029
16S-A-G11-L3,AME0061-G11,eACE010-eAME186,A,3,blank+XGA-029
16S-A-H11-L3,AME0061-H11,eACE010-eAME187,A,3,blank+XLA-029
16S-A-A12-L3,AME0061-A12,eACE010-eAME188,A,3,B-mix+XDA-029
16S-A-B12-L3,AME0061-B12,eACE010-eAME189,A,3,B-mix+XEA-029
16S-A-C12-L3,AME0061-C12,eACE010-eAME190,A,3,B-mix+XFA-029
16S-A-D12-L3,AME0061-D12,eACE010-eAME191,A,3,B-mix+XCA-029
16S-A-E12-L3,AME0061-E12,eACE010-eAME192,A,3,B-mix+XSA-029
16S-A-F12-L3,AME0061-F12,eACE010-eAME193,A,3,B-mix+XJA-029
16S-A-G12-L3,AME0061-G12,eACE010-eAME194,A,3,B-mix+XGA-029
16S-A-H12-L3,AME0061-H12,eACE010-eAME195,A,3,B-mix+XLA-029
16S-A-A1-L4,AME0062-A01,eACE010-eAME196,A,4,XBB-029+XDA-036
16S-A-B1-L4,AME0062-B01,eACE010-eAME197,A,4,XBB-029+XEA-036
16S-A-C1-L4,AME0062-C01,eACE010-eAME198,A,4,XBB-029+XFA-036
16S-A-D1-L4,AME0062-D01,eACE010-eAME199,A,4,XBB-029+XTA-036
16S-A-E1-L4,AME0062-E01,eACE010-eAME200,A,4,XBB-029+XSA-036
16S-A-F1-L4,AME0062-F01,eACE010-eAME201,A,4,XBB-029+XVA-036
16S-A-G1-L4,AME0062-G01,eACE010-eAME202,A,4,XBB-029+XGA-036
16S-A-H1-L4,AME0062-H01,eACE010-eAME203,A,4,XBB-029+XLA-036
16S-A-A2-L4,AME0062-A02,eACE010-eAME204,A,4,XCB-029+XDA-036
16S-A-B2-L4,AME0062-B02,eACE010-eAME205,A,4,XCB-029+XEA-036
16S-A-C2-L4,AME0062-C02,eACE010-eAME206,A,4,XCB-029+XFA-036
16S-A-D2-L4,AME0062-D02,eACE010-eAME207,A,4,XCB-029+XTA-036
16S-A-E2-L4,AME0062-E02,eACE010-eAME208,A,4,XCB-029+XSA-036
16S-A-F2-L4,AME0062-F02,eACE010-eAME209,A,4,XCB-029+XJA-036
16S-A-G2-L4,AME0062-G02,eACE010-eAME210,A,4,XCB-029+XGA-036
16S-A-H2-L4,AME0062-H02,eACE010-eAME211,A,4,XCB-029+XLA-036
